uuid,observed_on_string,updated_at,quality_grade,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,place_guess,private_place_guess,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,filepath
61ea3a20-37bd-4a29-af81-36f6c02a1336,"January 15, 2011 16:39",2023-09-03 15:31:30 UTC,needs_id,http://www.inaturalist.org/observations/11653,https://inaturalist-open-data.s3.amazonaws.com/photos/23565/medium.jpg,,,,6.0,0.0,"Menlo Park, California, United States",,gilled mushrooms,Agaricales,Common Gilled Mushrooms and Allies,Fungi,47167.0,Agaricales,inat_images/11653_Fungi_Agaricales.jpg
b0d19914-a045-4814-97b2-777accbda826,2010-08-04,2023-09-10 13:58:09 UTC,needs_id,http://www.inaturalist.org/observations/53140,https://inaturalist-open-data.s3.amazonaws.com/photos/83816/medium.JPG,,"orange, red","Dead wood.

Cataloochee area.",1.0,0.0,"Great Smoky Mountains National Park, North Carolina, USA",,Common Gilled Mushrooms and Allies,Agaricales,Common Gilled Mushrooms and Allies,Fungi,47167.0,Agaricales,inat_images/53140_Fungi_Agaricales.jpg
d1343a16-4a90-431c-8dd0-b99360434107,2009-12-14,2025-11-12 05:37:42 UTC,needs_id,http://www.inaturalist.org/observations/86687,https://inaturalist-open-data.s3.amazonaws.com/photos/126595/medium.JPG,,"orange, yellow, fungus","Undersides of bracket fungus, or some kind of orange peel fungus?",3.0,0.0,"Dorrigo National Park, New South Wales, Australia",,"Mushrooms, Bracket Fungi, Puffballs, and Allies",Agaricomycetes,"Mushrooms, Bracket Fungi, Puffballs, and Allies",Fungi,50814.0,,inat_images/86687_Fungi_Agaricomycetes.jpg
3de57f16-1148-48ea-89e8-41e5c815f3e1,2012-06-04,2020-01-22 06:48:35 UTC,needs_id,http://www.inaturalist.org/observations/88059,https://static.inaturalist.org/photos/128535/medium.jpg,,,This tree was covered with a significant amount of oyster mushrooms up its side.,1.0,0.0,"47.66125000000, -122.41150000000",,Agaricomycetes,Agaricomycetes,"Mushrooms, Bracket Fungi, Puffballs, and Allies",Fungi,50814.0,,inat_images/88059_Fungi_Agaricomycetes.jpg
79bbe1c2-c6d0-4c1b-806e-588293479160,Sun Jun 03 2012 10:08:56 GMT-0400 (EDT),2019-01-24 14:56:05 UTC,needs_id,http://www.inaturalist.org/observations/89020,https://static.inaturalist.org/photos/129862/medium.jpg,,,,2.0,0.0,"163 Stoney Hill Rd, Vineyard Haven, Massachusetts, US",,Basidiomycete Fungi,Basidiomycota,Basidiomycete Fungi,Fungi,47169.0,,inat_images/89020_Fungi_Basidiomycota.jpg
ce052c15-27e0-40da-9eff-bce71226216b,2012-10-01 07:24:49,2025-10-21 02:37:25 UTC,needs_id,http://www.inaturalist.org/observations/129206,https://inaturalist-open-data.s3.amazonaws.com/photos/182644/medium.jpg,,"Mucoromycota, Makunda Fungi","Location: Makunda Christian Hospital, Karimganj District, Assam

Date: 1st October 2012

Equipment: Nikon D300s with Nikkor AF 28-105mm lens",1.0,0.0,"Makunda Christian Hospital, Karimganj District, Assam",,Mucoromycota,Mucoromycota,,Fungi,1094433.0,,inat_images/129206_Fungi_Mucoromycota.jpg
81c827e6-825b-4931-9f78-a0eb0e1cdb32,2010-10-19,2024-06-12 23:27:32 UTC,needs_id,http://www.inaturalist.org/observations/133180,https://inaturalist-open-data.s3.amazonaws.com/photos/186001/medium.JPG,,white,"Grand Canyon hike.

On dead wood.",1.0,0.0,"Blue Mountains National Park, New South Wales, Australia",,Agaricomycetes,Agaricomycetes,"Mushrooms, Bracket Fungi, Puffballs, and Allies",Fungi,50814.0,,inat_images/133180_Fungi_Agaricomycetes.jpg
3a9b840a-d7c8-4742-84e6-12c560dd1485,2008-09-28,2023-06-13 16:49:33 UTC,needs_id,http://www.inaturalist.org/observations/173015,https://inaturalist-open-data.s3.amazonaws.com/photos/229451/medium.JPG,,,'Alien' mushrooms on the cord wood.,1.0,0.0,Saxtons River,,Agaricomycetes,Agaricomycetes,"Mushrooms, Bracket Fungi, Puffballs, and Allies",Fungi,50814.0,,inat_images/173015_Fungi_Agaricomycetes.jpg
2b77c77a-d976-42e6-bbc4-0038febf4114,2012-02-25,2021-02-04 17:23:54 UTC,needs_id,http://www.inaturalist.org/observations/228925,https://inaturalist-open-data.s3.amazonaws.com/photos/288146/medium.jpg,,"st_joseph's_hill, fungus, mystery",This strange mushroom was growing out of a stump and looked like it was trying to curve back into itself.  I have never seen any kind of mushroom grow like this.  Is this a known fungal phenomenon?,1.0,0.0,"St. Joseph's Hill Open Space Preserve, Los Gatos CA",,Agaricomycetes,Agaricomycetes,"Mushrooms, Bracket Fungi, Puffballs, and Allies",Fungi,50814.0,,inat_images/228925_Fungi_Agaricomycetes.jpg
40de3925-58d0-4dbb-8760-ab4fdbd9fd0c,2012-02-06,2024-10-25 20:24:12 UTC,needs_id,http://www.inaturalist.org/observations/236358,https://inaturalist-open-data.s3.amazonaws.com/photos/296486/medium.jpg,,,,3.0,0.0,Lion Canyon,,Higher Ascomycetes,Pezizomycotina,Sac Fungi and Lichens,Fungi,372740.0,,inat_images/236358_Fungi_Pezizomycotina.jpg
