id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,quality_grade,license,url,image_url,sound_url,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
37801766,6b1ec0ce-7fda-48af-9d59-44e8451ff50b,2020/01/09 6:06 PM -0800,2020-01-09,2020-01-10 02:06:00 UTC,Pacific Time (US & Canada),research,CC-BY,https://www.inaturalist.org/observations/37801766,,https://static.inaturalist.org/sounds/55353.m4a?1579572431,1,0,false,"Golden Gate Park, San Francisco, CA, USA",37.7684964665,-122.4583608202,44,44,Eastern Gray Squirrel,Sciurus carolinensis,Eastern Gray Squirrel,Mammalia,46017
37802180,f354c7d6-4f69-43fa-bd03-6735aaa36590,2020/01/14 6:18 PM -0800,2020-01-14,2020-01-15 02:18:00 UTC,Pacific Time (US & Canada),research,CC-BY,https://www.inaturalist.org/observations/37802180,,https://static.inaturalist.org/sounds/55361.m4a?1579573133,1,0,false,"Fisherman's Wharf, San Francisco, CA, USA",37.8105547481,-122.4115376243,40,40,California Sea Lion,Zalophus californianus,California Sea Lion,Mammalia,41740
37804364,6231b992-290b-4aad-a52a-6f729251c45d,2020/01/20 7:38 PM PST,2020-01-20,2020-01-21 03:38:00 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/37804364,https://inaturalist-open-data.s3.amazonaws.com/photos/60005191/medium.jpeg,https://static.inaturalist.org/sounds/55374.m4a?1579577964,3,0,false,"Contra Costa County, CA, USA",37.9983027976,-122.2061998891,15,15,Coyote,Canis latrans,Coyote,Mammalia,42051
37808303,b06ba7ae-f575-4ac4-ab27-4f3cb5aa9eed,2020/01/20 3:30 PM PST,2020-01-20,2020-01-20 23:30:00 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/37808303,,https://static.inaturalist.org/sounds/55378.m4a?1579588252,2,0,false,Pescadero Creek County Park,37.2763297696,-122.2268186363,15,15,Eastern Gray Squirrel,Sciurus carolinensis,Eastern Gray Squirrel,Mammalia,46017
37809143,aef5abfa-b43f-40e7-bba9-75c04cbfff05,2020-01-02 7:56:00 PM PST,2020-01-02,2020-01-03 03:56:00 UTC,Pacific Time (US & Canada),research,CC-BY-NC-ND,https://www.inaturalist.org/observations/37809143,,https://static.inaturalist.org/sounds/55384.m4a?1579591848,1,0,false,"PRESIDIO MTRY, CA 93944, USA",36.6056594941,-121.8940692768,43,43,California Sea Lion,Zalophus californianus,California Sea Lion,Mammalia,41740
37935594,c5de8b53-24a9-4ed5-a82a-b63a41dd8e02,2020-01-24 6:46:00 PM PST,2020-01-24,2020-01-25 02:46:00 UTC,Pacific Time (US & Canada),research,CC-BY,https://www.inaturalist.org/observations/37935594,,https://static.inaturalist.org/sounds/55689.mp3?1579921185,1,0,false,"Borrego Springs, CA 92004, USA",33.2493028593,-116.2970839441,9,9,Coyote,Canis latrans,Coyote,Mammalia,42051
37936281,85481b92-4f3f-4bff-92fa-51be6702cef0,2020-01-24 7:28:00 PM PST,2020-01-24,2020-01-25 03:28:00 UTC,Pacific Time (US & Canada),research,CC-BY,https://www.inaturalist.org/observations/37936281,,https://static.inaturalist.org/sounds/55699.mp3?1579922971,1,0,false,"Borrego Springs, CA 92004, USA",33.2492767831,-116.2970648333,9,9,Coyote,Canis latrans,Coyote,Mammalia,42051
38208769,537f7410-4c26-45f5-b023-d63ba268b317,2020-02-01 9:25:00 PM PST,2020-02-01,2020-02-02 05:25:00 UTC,Pacific Time (US & Canada),research,CC-BY,https://www.inaturalist.org/observations/38208769,,https://static.inaturalist.org/sounds/56409.mp3?1580621251,1,0,false,"Indian Pass, CA 92283, USA",32.959790222,-114.838280417,9,9,Coyote,Canis latrans,Coyote,Mammalia,42051
38466128,99642a4e-3e15-4ee5-b1f6-2bd2201ee340,2020-02-09 7:50:00 AM MST,2020-02-09,2020-02-09 14:50:00 UTC,Mountain Time (US & Canada),research,CC-BY,https://www.inaturalist.org/observations/38466128,,https://static.inaturalist.org/sounds/57345.mp3?1581260751,1,0,false,"Winterhaven, CA 92283, USA",32.9002781342,-114.6865200251,5,5,Coyote,Canis latrans,Coyote,Mammalia,42051
38700852,38f11b04-e282-43d6-beae-b58d05468efa,2020/02/15 3:49 PM PST,2020-02-15,2020-02-15 23:49:00 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/38700852,,https://static.inaturalist.org/sounds/57905.wav?1581834692,1,0,false,Sam McDonald County Park,37.2909792346,-122.2614766343,61,61,Western Gray Squirrel,Sciurus griseus,Western Gray Squirrel,Mammalia,46023
38702477,0c040e2f-6fb2-4e0e-8227-4af513748514,Sat Feb 15 2020 10:53:30 GMT-0800 (PST),2020-02-15,2020-02-15 18:53:30 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/38702477,,https://static.inaturalist.org/sounds/57950.m4a?1581840857,1,0,false,"Sam McDonald Park, La Honda, CA, US",37.2960901436,-122.251575369,549,549,Western Gray Squirrel,Sciurus griseus,Western Gray Squirrel,Mammalia,46023
38732495,b1c96b03-b679-41a6-a165-ef19c53d5bf8,Sun Feb 16 2020 16:19:09 GMT-0800 (PST),2020-02-16,2020-02-17 00:19:09 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/38732495,,https://static.inaturalist.org/sounds/60666.m4a?1583701395,2,0,false,"Market St, Santa Clarita, CA, US",34.374506,-118.528153,16,16,California Ground Squirrel,Otospermophilus beecheyi,California Ground Squirrel,Mammalia,180007
39193481,6072e8dc-9eaf-43b6-a4f7-e2e035ab9bfa,2020-02-21 7:18:00 PM PST,2020-02-21,2020-02-22 03:18:00 UTC,Pacific Time (US & Canada),research,CC-BY,https://www.inaturalist.org/observations/39193481,,https://static.inaturalist.org/sounds/58859.mp3?1582602057,1,0,false,"Winterhaven, CA 92283, USA",32.9992888874,-114.7897706553,24,24,Coyote,Canis latrans,Coyote,Mammalia,42051
39340828,3435ec61-0ffb-4030-ac43-e4941ad92cb2,2020/02/27 6:42 PM -0800,2020-02-27,2020-02-28 02:42:00 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/39340828,,https://static.inaturalist.org/sounds/59297.wav?1582951498,1,0,false,"Contra Costa County, CA, USA",37.8791658798,-121.9343028071,31,31,Coyote,Canis latrans,Coyote,Mammalia,42051
39388036,19b69b5c-0f2b-4f04-a119-14f82815ed94,2020/02/28 15:47,2020-02-28,2020-02-28 23:47:00 UTC,Pacific Time (US & Canada),research,,https://www.inaturalist.org/observations/39388036,,https://static.inaturalist.org/sounds/59439.mp3?1583036933,1,0,false,"San Luis Obispo County, CA, USA",35.6753844464,-121.2856898056,31,31,Northern Elephant Seal,Mirounga angustirostris,Northern Elephant Seal,Mammalia,41728
39388209,816ad393-8026-4758-bbd9-35883eb1b824,2020/02/28 15:57,2020-02-28,2020-02-28 23:57:00 UTC,Pacific Time (US & Canada),research,,https://www.inaturalist.org/observations/39388209,,https://static.inaturalist.org/sounds/59440.mp3?1583037149,1,0,false,"San Luis Obispo County, CA, USA",35.675353364,-121.2858220274,122,122,Northern Elephant Seal,Mirounga angustirostris,Northern Elephant Seal,Mammalia,41728
39388565,db3ae1a6-2096-4dbe-bfb6-1471826d8629,2020/02/28 15:59,2020-02-28,2020-02-28 15:59:00 UTC,UTC,research,,https://www.inaturalist.org/observations/39388565,,https://static.inaturalist.org/sounds/59441.mp3?1583037610,1,0,false,"San Luis Obispo County, CA, USA",35.6755625334,-121.2862511809,122,122,Northern Elephant Seal,Mirounga angustirostris,Northern Elephant Seal,Mammalia,41728
39505134,5c67c3c4-9580-4f5b-9d28-8d660b46e4f1,2020-03-03 1:46:35 PM PST,2020-03-03,2020-03-03 13:46:35 UTC,UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39505134,,https://static.inaturalist.org/sounds/59842.wav?1583274002,1,0,false,"San Diego County, US-CA, US",32.82796465,-117.19420834,13,13,California Ground Squirrel,Otospermophilus beecheyi,California Ground Squirrel,Mammalia,180007
40099563,405f007e-ec77-43a9-8dbf-d6cec1eb799c,2020/03/01 2:16 AM UTC,2020-03-01,,UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/40099563,,https://static.inaturalist.org/sounds/62062.m4a?1584393865,2,0,false,"Village of La Jolla, San Diego, CA 92037, USA",32.8501072663,-117.2727053089,117,117,California Sea Lion,Zalophus californianus,California Sea Lion,Mammalia,41740
