id,uuid,observed_on,time_observed_at,user_id,quality_grade,url,image_url,sound_url,num_identification_agreements,num_identification_disagreements,place_guess,private_place_guess,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,filepath,genus,family,family_common
257511044,cd2b8425-a2a9-418b-8484-9c7fcc5ee363,2025-01-03,2025-01-03 20:33:00 UTC,9531,research,https://www.inaturalist.org/observations/257511044,,https://static.inaturalist.org/sounds/1280478.wav?1736110857,1,0,"Lumberton, TX 77657, USA",,Southern Leopard Frog,Lithobates sphenocephalus,Southern Leopard Frog,Amphibia,60341,Animalia,Chordata,Amphibia,Anura,257511044_Animalia_Amphibia_Anura.wav,Lithobates,Ranidae,"True Frogs (Bullfrogs, Leopard Frogs)"
257512800,948ae9fb-5451-4dc6-a84a-dc892cec3406,2025-01-04,2025-01-04 20:58:00 UTC,100933,research,https://www.inaturalist.org/observations/257512800,,https://static.inaturalist.org/sounds/1280490.m4a?1736111876,2,0,"West Torrance, Torrance, CA 90503, USA",,Pacific chorus frog,Pseudacris regilla,Pacific chorus frog,Amphibia,24259,Animalia,Chordata,Amphibia,Anura,257512800_Animalia_Amphibia_Anura.m4a,Pseudacris,Hylidae,"Tree Frogs (Spring Peepers, Gray Treefrogs)"
257513151,3e06c819-e484-4b20-ba8d-3d7aa94695c1,2025-01-04,2025-01-05 01:21:00 UTC,100933,research,https://www.inaturalist.org/observations/257513151,,https://static.inaturalist.org/sounds/1280490.m4a?1736111876,2,0,"5405 halison, Torrance, CA 90503, USA",,Pacific chorus frog,Pseudacris regilla,Pacific chorus frog,Amphibia,24259,Animalia,Chordata,Amphibia,Anura,257513151_Animalia_Amphibia_Anura.m4a,Pseudacris,Hylidae,"Tree Frogs (Spring Peepers, Gray Treefrogs)"
257637660,b9f5d5d7-6ab8-463f-a28d-28adb5e4115a,2025-01-06,2025-01-06 21:52:02 UTC,1547851,research,https://www.inaturalist.org/observations/257637660,,https://static.inaturalist.org/sounds/1284184.m4a?1736638025,2,0,"Sauvie Island, Portland, OR, US",,Pacific chorus frog,Pseudacris regilla,Pacific chorus frog,Amphibia,24259,Animalia,Chordata,Amphibia,Anura,257637660_Animalia_Amphibia_Anura.m4a,Pseudacris,Hylidae,"Tree Frogs (Spring Peepers, Gray Treefrogs)"
257945656,4d202290-1892-44fa-a386-10c35d643c05,2025-01-09,2025-01-09 19:25:23 UTC,5597546,research,https://www.inaturalist.org/observations/257945656,,https://static.inaturalist.org/sounds/1282838.m4a?1736450844,2,0,"Thurston County, US-WA, US",,Pacific chorus frog,Pseudacris regilla,Pacific chorus frog,Amphibia,24259,Animalia,Chordata,Amphibia,Anura,257945656_Animalia_Amphibia_Anura.m4a,Pseudacris,Hylidae,"Tree Frogs (Spring Peepers, Gray Treefrogs)"
258053749,21ce3e8d-6997-475d-b660-c10f8b91d1e3,2025-01-10,2025-01-10 18:37:00 UTC,234657,research,https://www.inaturalist.org/observations/258053749,,https://static.inaturalist.org/sounds/1283322.wav?1736536327,2,0,"Riverside County, US-CA, US",,California Tree Frog,Pseudacris cadaverina,California Tree Frog,Amphibia,24254,Animalia,Chordata,Amphibia,Anura,258053749_Animalia_Amphibia_Anura.wav,Pseudacris,Hylidae,"Tree Frogs (Spring Peepers, Gray Treefrogs)"
258339799,d16d1052-ab1b-47be-aa6c-f4609aec74bf,2025-01-12,2025-01-13 02:00:00 UTC,5923218,research,https://www.inaturalist.org/observations/258339799,,https://static.inaturalist.org/sounds/1284948.m4a?1736741935,1,0,"Bay Lake, FL, USA",,Florida Cricket Frog,Acris gryllus dorsalis,Florida Cricket Frog,Amphibia,122229,Animalia,Chordata,Amphibia,Anura,258339799_Animalia_Amphibia_Anura.m4a,Acris,Hylidae,"Tree Frogs (Spring Peepers, Gray Treefrogs)"
258375412,b68c6a0b-6b79-41d5-8e86-b8875b0e0721,2025-01-12,2025-01-12 22:13:20 UTC,2277971,research,https://www.inaturalist.org/observations/258375412,,https://static.inaturalist.org/sounds/1285139.m4a?1736779567,3,0,"SW Pacific Hwy, Sherwood, OR, US",,Pacific chorus frog,Pseudacris regilla,Pacific chorus frog,Amphibia,24259,Animalia,Chordata,Amphibia,Anura,258375412_Animalia_Amphibia_Anura.m4a,Pseudacris,Hylidae,"Tree Frogs (Spring Peepers, Gray Treefrogs)"
258402978,d34483a4-c142-4d0a-8dab-3d0fd51d68e0,2025-01-13,2025-01-13 20:49:11 UTC,1295921,research,https://www.inaturalist.org/observations/258402978,,https://static.inaturalist.org/sounds/1285336.m4a?1736801408,2,0,"Houston, TX, US",,Cajun Chorus Frog,Pseudacris fouquettei,Cajun Chorus Frog,Amphibia,66952,Animalia,Chordata,Amphibia,Anura,258402978_Animalia_Amphibia_Anura.m4a,Pseudacris,Hylidae,"Tree Frogs (Spring Peepers, Gray Treefrogs)"
258417545,48ec0149-49b0-427c-81cc-6dec87ddde72,2025-01-13,2025-01-13 23:53:06 UTC,6324965,research,https://www.inaturalist.org/observations/258417545,,https://static.inaturalist.org/sounds/1285409.m4a?1736812406,1,0,"Flamingo Rd NE, Lake Placid, FL, US",,Southern Leopard Frog,Lithobates sphenocephalus,Southern Leopard Frog,Amphibia,60341,Animalia,Chordata,Amphibia,Anura,258417545_Animalia_Amphibia_Anura.m4a,Lithobates,Ranidae,"True Frogs (Bullfrogs, Leopard Frogs)"
